STUDENT ID,GENDER,SG CITIZEN,SG PR,FOREIGNER,COUNTRY OF OTHER NATIONALITY,DOB,HIGHEST QUALIFICATION,NAME OF QUALIFICATION AND INSTITUTION,DATE ATTAINED HIGHEST QUALIFICATION,DESIGNATION,COMMENCEMENT DATE,COMPLETION DATE,FULL-TIME OR PART-TIME,COURSE FUNDING,CLASS,NATIONALITY_STATUS,AGE,COURSE_DURATION_DAYS,PERIOD,GPA,ATTENDANCE,PRIOR KNOWLEDGE,COURSE RELEVANCE,TEACHING SUPPORT,COMPANY SUPPORT,FAMILY SUPPORT,SELF-STUDY HRS
1101-009/001,F,N,N,Y,Malaysia,1981-09-13,Certificate,SPM,2018-08-01,Admin & HR Assistant,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,44.4,517.0,Sem 1,3.5,100.0,4.0,3.0,4.0,5.0,3.0,16.0
1101-009/001,F,N,N,Y,Malaysia,1981-09-13,Certificate,SPM,2018-08-01,Admin & HR Assistant,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,44.4,517.0,Sem 2,3.6,100.0,4.0,5.0,5.0,3.0,3.0,14.0
1101-009/001,F,N,N,Y,Malaysia,1981-09-13,Certificate,SPM,2018-08-01,Admin & HR Assistant,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,44.4,517.0,Sem 3,3.7,80.0,5.0,4.0,4.0,4.0,3.0,18.0
1101-009/002,F,Y,N,N,,1979-07-26,Certificate,"Certificate in Office Skills, ITE",2016-08-06,Admin Assistant,2022-04-18,2023-09-17,Part-Time,Individual-SFC,1101-009,SG Citizen,46.5,517.0,Sem 1,3.4,100.0,2.0,4.0,5.0,3.0,3.0,14.0
1101-009/002,F,Y,N,N,,1979-07-26,Certificate,"Certificate in Office Skills, ITE",2016-08-06,Admin Assistant,2022-04-18,2023-09-17,Part-Time,Individual-SFC,1101-009,SG Citizen,46.5,517.0,Sem 2,3.5,80.0,3.0,5.0,5.0,5.0,4.0,17.0
1101-009/002,F,Y,N,N,,1979-07-26,Certificate,"Certificate in Office Skills, ITE",2016-08-06,Admin Assistant,2022-04-18,2023-09-17,Part-Time,Individual-SFC,1101-009,SG Citizen,46.5,517.0,Sem 3,3.6,97.0,3.0,5.0,5.0,3.0,5.0,13.0
1101-009/003,F,N,N,Y,India,1990-02-01,Degree,"Bachelor of Business Administration, University of Rajasthan, India",2015-08-08,-,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,36.0,517.0,Sem 1,3.3,100.0,4.0,4.0,3.0,4.0,5.0,15.0
1101-009/003,F,N,N,Y,India,1990-02-01,Degree,"Bachelor of Business Administration, University of Rajasthan, India",2015-08-08,-,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,36.0,517.0,Sem 2,3.2,100.0,4.0,5.0,4.0,3.0,3.0,20.0
1101-009/003,F,N,N,Y,India,1990-02-01,Degree,"Bachelor of Business Administration, University of Rajasthan, India",2015-08-08,-,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,36.0,517.0,Sem 3,3.6,91.0,5.0,4.0,5.0,3.0,3.0,14.0
1101-009/004,F,N,N,Y,Netherlands,1976-04-20,Diploma,"Office Management Diploma, NCOI Rotterdam, The Netherlands",2018-08-02,HR Support / Office Manager,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,49.7,517.0,Sem 1,3.9,100.0,4.0,4.0,3.0,3.0,3.0,18.0
1101-009/004,F,N,N,Y,Netherlands,1976-04-20,Diploma,"Office Management Diploma, NCOI Rotterdam, The Netherlands",2018-08-02,HR Support / Office Manager,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,49.7,517.0,Sem 2,3.8,100.0,3.0,5.0,3.0,3.0,4.0,20.0
1101-009/004,F,N,N,Y,Netherlands,1976-04-20,Diploma,"Office Management Diploma, NCOI Rotterdam, The Netherlands",2018-08-02,HR Support / Office Manager,2022-04-18,2023-09-17,Part-Time,Individual,1101-009,Foreigner,49.7,517.0,Sem 3,3.7,80.0,3.0,4.0,3.0,3.0,5.0,18.0
